MVMTNO,AIRL,A/CTYPE,STA,STD,LOADTYPE,DESTN,PAXIN,PAXOUT,HIST_STAND,MODEL_STAND,TYPE
25071127,ABY,A320,2025-07-08 05:35:00,2025-07-09 09:25:00,Pax,IST,118,93,55,55,PREDAY
25071220,ABY,A320,2025-07-08 20:25:00,2025-07-09 01:15:00,Pax,DAC,171,156,36,36,PREDAY
25071229,ABY,A321,2025-07-08 20:50:00,2025-07-09 02:50:00,Pax,DOH,207,87,54,54,PREDAY
25071233,ABY,A320,2025-07-08 20:50:00,2025-07-09 06:05:00,Pax,UET,170,70,52,52,PREDAY
25071230,ABY,A320,2025-07-08 20:55:00,2025-07-09 02:10:00,Pax,KTM,171,170,29,29,PREDAY
25071234,ABY,A320,2025-07-08 21:20:00,2025-07-09 00:10:00,Pax,CGP,134,147,38,38,PREDAY
25071249,ABY,A321,2025-07-08 21:50:00,2025-07-09 07:40:00,Pax,BGY,194,112,39,39,PREDAY
25071247,KQA,B738,2025-07-08 22:00:00,2025-07-09 03:00:00,Cgo,NBO,0,0,57,57,PREDAY
25071246,ABY,A320,2025-07-08 22:20:00,2025-07-09 01:20:00,Pax,NJF,161,45,30,30,PREDAY
25071242,AXB,A320,2025-07-08 22:30:00,2025-07-09 00:55:00,Pax,DEL,155,171,24,24,PREDAY
25071248,FJL,A320,2025-07-08 22:55:00,2025-07-09 00:36:00,Pax,LHE,135,137,6,6,PREDAY
25071251,ABY,A320,2025-07-08 23:25:00,2025-07-09 00:25:00,Pax,AMD,166,172,5,5,PREDAY
25071250,QTR,A320,2025-07-08 23:30:00,2025-07-09 00:30:00,Pax,DOH,65,52,23,23,PREDAY
25071252,ABY,A320,2025-07-08 23:40:00,2025-07-09 03:55:00,Pax,BAH,172,65,14,14,PREDAY
25071253,PIA,A320,2025-07-08 23:45:00,2025-07-09 00:59:00,Pax,MUX,156,78,7,7,PREDAY
25071256,AXB,B738,2025-07-09 00:25:00,2025-07-09 02:00:00,Pax,TRV,78,187,22,8,OPS
25071255,UBG,B738,2025-07-09 00:30:00,2025-07-09 01:30:00,Pax,DAC,188,149,3,3,OPS
25071254,IGO,A320,2025-07-09 00:55:00,2025-07-09 01:55:00,Pax,LKO,165,158,8,5,OPS
25071257,ABY,A320,2025-07-09 01:35:00,2025-07-09 02:40:00,Pax,PEW,174,171,6,4,OPS
25071260,MSR,B738,2025-07-09 02:00:00,2025-07-09 03:00:00,Pax,CAI,117,129,5,6,OPS
25071258,ABY,A320,2025-07-09 02:10:00,2025-07-09 03:50:00,Pax,DMM,151,161,7,3,OPS
25071263,ABQ,A321,2025-07-09 03:10:00,2025-07-09 04:45:00,Pax,LHE,84,99,3,8,OPS
25071259,AXB,A20N,2025-07-09 03:15:00,2025-07-09 04:15:00,Pax,CCJ,113,187,4,5,OPS
25071262,ABY,A320,2025-07-09 03:15:00,2025-07-09 13:10:00,Pax,COK,143,172,33,38,OPS
25071264,ABY,A320,2025-07-09 03:15:00,2025-07-09 07:00:00,Pax,KHI,46,140,25,29,OPS
25071261,ABY,A320,2025-07-09 03:25:00,2025-07-09 04:45:00,Pax,MUX,79,116,16,1A,OPS
25071265,ETH,B738,2025-07-09 03:25:00,2025-07-09 04:25:00,Pax,ADD,129,120,8,7,OPS
25071266,PGT,A321,2025-07-09 03:40:00,2025-07-09 04:50:00,Pax,SAW,145,138,23,6,OPS
25071271,UPS,B748,2025-07-09 03:43:00,2025-07-09 05:15:00,Cgo,CGN,0,0,51,61,OPS
25071267,IGO,A320,2025-07-09 03:55:00,2025-07-09 04:55:00,Pax,TRV,93,177,6,4,OPS
25071273,ABY,A321,2025-07-09 04:00:00,2025-07-09 08:05:00,Pax,BAH,159,119,36,34,OPS
25071270,ABY,A320,2025-07-09 04:05:00,2025-07-09 05:50:00,Pax,TUU,13,97,21,1B,OPS
25071268,MNB,A333,2025-07-09 04:05:00,2025-07-09 06:30:00,Cgo,HKG,0,0,53,57,OPS
25071269,ABY,A320,2025-07-09 04:10:00,2025-07-09 13:25:00,Pax,TBS,145,161,40,37,OPS
25071272,QTR,A320,2025-07-09 04:10:00,2025-07-09 05:40:00,Pax,DOH,78,133,7,3,OPS
25071279,ETH,B763,2025-07-09 04:30:00,2025-07-09 07:30:00,Cgo,HGA,0,0,61,53,OPS
25071274,AMA,A30B,2025-07-09 05:00:00,2025-07-09 06:00:00,Cgo,KBL,0,0,59,51,OPS
25071275,AXB,B738,2025-07-09 05:00:00,2025-07-09 06:00:00,Pax,COK,80,188,4,5,OPS
25071277,ABY,A320,2025-07-09 05:20:00,2025-07-09 07:10:00,Pax,ELQ,96,133,14,22,OPS
25071276,KQA,B738,2025-07-09 05:30:00,2025-07-09 15:30:00,Cgo,NBO,0,0,57,59,OPS
25071278,ABY,A321,2025-07-09 05:30:00,2025-07-09 07:30:00,Pax,RUH,102,192,5,14,OPS
25071283,SEP,B738,2025-07-09 05:40:00,2025-07-09 06:40:00,Pax,PEW,173,50,8,4,OPS
25071284,ABY,A320,2025-07-09 05:50:00,2025-07-09 10:00:00,Pax,LRR,101,173,1B,36,OPS
25071282,ABY,A321,2025-07-09 06:00:00,2025-07-09 09:00:00,Pax,DAC,201,198,38,56,OPS
25071281,ABY,A320,2025-07-09 06:05:00,2025-07-09 07:10:00,Pax,SYZ,174,109,1A,7,OPS
25071285,ABY,A320,2025-07-09 06:05:00,2025-07-09 07:30:00,Pax,JED,173,174,7,6,OPS
25071287,ABY,A320,2025-07-09 06:15:00,2025-07-09 07:35:00,Pax,SLL,92,158,6,1B,OPS
25071298,ABY,A320,2025-07-09 06:15:00,2025-07-09 08:10:00,Pax,DMM,106,142,23,1C,OPS
25071309,ABY,A320,2025-07-09 06:25:00,2025-07-09 09:55:00,Pax,ALA,124,116,35,52,OPS
25071296,ABY,A320,2025-07-09 06:25:00,2025-07-09 09:10:00,Pax,EBB,124,156,30,21,OPS
25071301,ABY,A320,2025-07-09 06:30:00,2025-07-09 09:00:00,Pax,GOX,168,175,54,30,OPS
25071286,ABY,A320,2025-07-09 06:30:00,2025-07-09 12:45:00,Pax,AHB,152,175,58,58,OPS
25071303,ABY,A320,2025-07-09 06:35:00,2025-07-09 15:10:00,Pax,RUH,144,166,56,40,OPS
25071292,ABY,A320,2025-07-09 06:35:00,2025-07-09 08:45:00,Pax,DOH,131,105,50,26,OPS
25071304,ABY,A320,2025-07-09 06:40:00,2025-07-09 08:45:00,Pax,AER,165,69,26,33,OPS
